jurisdiction,state,year,drug_type,deaths,crude_rate
Connecticut,Connecticut,1999,Otheropioids,23,0.7
Connecticut,Connecticut,1999,Heroin,96,2.8
Connecticut,Connecticut,2000,Heroin,110,3.2
Connecticut,Connecticut,2000,Otheropioids,24,0.7
Connecticut,Connecticut,2001,Heroin,95,2.8
Connecticut,Connecticut,2001,Otheropioids,30,0.9
Connecticut,Connecticut,2002,Heroin,88,2.5
Connecticut,Connecticut,2002,Otheropioids,49,1.4
Connecticut,Connecticut,2003,Otheropioids,42,1.2
Connecticut,Connecticut,2003,Heroin,109,3.1
Connecticut,Connecticut,2004,Otheropioids,71,2
Connecticut,Connecticut,2004,Fentanyl,10,0.3
Connecticut,Connecticut,2004,Heroin,92,2.6
Connecticut,Connecticut,2005,Fentanyl,10,0.3
Connecticut,Connecticut,2005,Heroin,74,2.1
Connecticut,Connecticut,2005,Otheropioids,60,1.7
Connecticut,Connecticut,2006,Heroin,87,2.5
Connecticut,Connecticut,2006,Fentanyl,11,0.3
Connecticut,Connecticut,2006,Otheropioids,94,2.7
Connecticut,Connecticut,2007,Fentanyl,22,0.6
Connecticut,Connecticut,2007,Heroin,118,3.3
Connecticut,Connecticut,2007,Otheropioids,87,2.5
Connecticut,Connecticut,2008,Fentanyl,16,0.5
Connecticut,Connecticut,2008,Otheropioids,84,2.4
Connecticut,Connecticut,2008,Heroin,109,3.1
Connecticut,Connecticut,2009,Heroin,99,2.8
Connecticut,Connecticut,2009,Fentanyl,20,0.6
Connecticut,Connecticut,2009,Otheropioids,72,2
Connecticut,Connecticut,2010,Otheropioids,82,2.3
Connecticut,Connecticut,2010,Heroin,77,2.2
Connecticut,Connecticut,2010,Fentanyl,22,0.6
Connecticut,Connecticut,2011,Otheropioids,75,2.1
Connecticut,Connecticut,2011,Fentanyl,13,0.4
Connecticut,Connecticut,2011,Heroin,85,2.4
Connecticut,Connecticut,2012,Heroin,98,2.7
Connecticut,Connecticut,2012,Fentanyl,15,0.4
Connecticut,Connecticut,2012,Otheropioids,60,1.7
Connecticut,Connecticut,2013,Heroin,227,6.3
Connecticut,Connecticut,2013,Otheropioids,182,5.1
Connecticut,Connecticut,2013,Fentanyl,53,1.5
Connecticut,Connecticut,2014,Otheropioids,195,5.4
Connecticut,Connecticut,2014,Fentanyl,94,2.6
Connecticut,Connecticut,2014,Meth,15,0.4
Connecticut,Connecticut,2014,Heroin,299,8.3
Connecticut,Connecticut,2015,Fentanyl,211,5.9
