jurisdiction,state,month,deaths,crude_rate
North Dakota,North Dakota,2024-03-01,15,1.9
Ohio,Ohio,2024-03-01,309,2.6
Oklahoma,Oklahoma,2024-03-01,79,1.9
Oregon,Oregon,2024-03-01,163,3.8
Pennsylvania,Pennsylvania,2024-03-01,284,2.2
Rhode Island,Rhode Island,2024-03-01,28,2.5
South Carolina,South Carolina,2024-03-01,136,2.5
Tennessee,Tennessee,2024-03-01,221,3.1
Texas,Texas,2024-03-01,408,1.3
Utah,Utah,2024-03-01,61,1.7
Vermont,Vermont,2024-03-01,15,2.3
Virginia,Virginia,2024-03-01,126,1.4
Washington,Washington,2024-03-01,290,3.6
West Virginia,West Virginia,2024-03-01,100,5.6
Wisconsin,Wisconsin,2024-03-01,106,1.8
Wyoming,Wyoming,2024-03-01,15,2.6
Alabama,Alabama,2024-04-01,105,2
Alaska,Alaska,2024-04-01,29,3.9
Arizona,Arizona,2024-04-01,185,2.4
Arkansas,Arkansas,2024-04-01,35,1.1
California,California,2024-04-01,769,2
Colorado,Colorado,2024-04-01,153,2.6
Connecticut,Connecticut,2024-04-01,83,2.3
Delaware,Delaware,2024-04-01,27,2.6
Florida,Florida,2024-04-01,461,2
Georgia,Georgia,2024-04-01,172,1.5
Hawaii,Hawaii,2024-04-01,22,1.5
Idaho,Idaho,2024-04-01,30,1.5
Illinois,Illinois,2024-04-01,227,1.8
Indiana,Indiana,2024-04-01,148,2.1
Iowa,Iowa,2024-04-01,38,1.2
Kansas,Kansas,2024-04-01,52,1.8
Kentucky,Kentucky,2024-04-01,131,2.9
Louisiana,Louisiana,2024-04-01,153,3.3
Maine,Maine,2024-04-01,43,3.1
Maryland,Maryland,2024-04-01,149,2.4
Massachusetts,Massachusetts,2024-04-01,151,2.1
Michigan,Michigan,2024-04-01,177,1.7
Minnesota,Minnesota,2024-04-01,91,1.6
Mississippi,Mississippi,2024-04-01,42,1.4
Missouri,Missouri,2024-04-01,139,2.2
Montana,Montana,2024-04-01,16,1.4
Nebraska,Nebraska,2024-04-01,12,0.6
Nevada,Nevada,2024-04-01,111,3.4
New Hampshire,New Hampshire,2024-04-01,25,1.8
New Jersey,New Jersey,2024-04-01,190,2
New Mexico,New Mexico,2024-04-01,63,3
New York,New York,2024-04-01,421,2.1
North Carolina,North Carolina,2024-04-01,267,2.4
North Dakota,North Dakota,2024-04-01,11,1.4
Ohio,Ohio,2024-04-01,292,2.5
Oklahoma,Oklahoma,2024-04-01,76,1.9
Oregon,Oregon,2024-04-01,132,3.1
Pennsylvania,Pennsylvania,2024-04-01,278,2.1
Rhode Island,Rhode Island,2024-04-01,30,2.7
South Carolina,South Carolina,2024-04-01,134,2.4
Tennessee,Tennessee,2024-04-01,222,3.1
Texas,Texas,2024-04-01,467,1.5
Utah,Utah,2024-04-01,71,2
Virginia,Virginia,2024-04-01,155,1.8
Washington,Washington,2024-04-01,285,3.6
West Virginia,West Virginia,2024-04-01,70,4
Wisconsin,Wisconsin,2024-04-01,118,2
Wyoming,Wyoming,2024-04-01,11,1.9
Alabama,Alabama,2024-05-01,107,2.1
Alaska,Alaska,2024-05-01,34,4.6
Arizona,Arizona,2024-05-01,181,2.4
Arkansas,Arkansas,2024-05-01,32,1
California,California,2024-05-01,793,2
Colorado,Colorado,2024-05-01,156,2.6
Connecticut,Connecticut,2024-05-01,81,2.2
Delaware,Delaware,2024-05-01,28,2.7
Florida,Florida,2024-05-01,514,2.2
Georgia,Georgia,2024-05-01,146,1.3
Hawaii,Hawaii,2024-05-01,29,2
Idaho,Idaho,2024-05-01,35,1.7
Illinois,Illinois,2024-05-01,240,1.9
Indiana,Indiana,2024-05-01,136,2
Iowa,Iowa,2024-05-01,32,1
Kansas,Kansas,2024-05-01,46,1.5
Kentucky,Kentucky,2024-05-01,138,3
Louisiana,Louisiana,2024-05-01,127,2.8
Maine,Maine,2024-05-01,39,2.8
Maryland,Maryland,2024-05-01,140,2.2
Massachusetts,Massachusetts,2024-05-01,149,2.1
Michigan,Michigan,2024-05-01,187,1.8
Minnesota,Minnesota,2024-05-01,85,1.5
Mississippi,Mississippi,2024-05-01,41,1.4
Missouri,Missouri,2024-05-01,138,2.2
Montana,Montana,2024-05-01,14,1.2
Nebraska,Nebraska,2024-05-01,12,0.6
Nevada,Nevada,2024-05-01,109,3.3
New Hampshire,New Hampshire,2024-05-01,21,1.5
New Jersey,New Jersey,2024-05-01,170,1.8
New Mexico,New Mexico,2024-05-01,74,3.5
New York,New York,2024-05-01,398,2
North Carolina,North Carolina,2024-05-01,250,2.3
North Dakota,North Dakota,2024-05-01,10,1.3
Ohio,Ohio,2024-05-01,298,2.5
Oklahoma,Oklahoma,2024-05-01,84,2.1
Oregon,Oregon,2024-05-01,150,3.5
Pennsylvania,Pennsylvania,2024-05-01,304,2.3
Rhode Island,Rhode Island,2024-05-01,39,3.5
South Carolina,South Carolina,2024-05-01,127,2.3
Tennessee,Tennessee,2024-05-01,229,3.2
Texas,Texas,2024-05-01,454,1.5
Utah,Utah,2024-05-01,51,1.5
Vermont,Vermont,2024-05-01,15,2.3
Virginia,Virginia,2024-05-01,166,1.9
Washington,Washington,2024-05-01,294,3.7
West Virginia,West Virginia,2024-05-01,66,3.7
Wisconsin,Wisconsin,2024-05-01,117,2
Wyoming,Wyoming,2024-05-01,10,1.7
Alabama,Alabama,2024-06-01,112,2.2
Alaska,Alaska,2024-06-01,35,4.7
Arizona,Arizona,2024-06-01,225,3
Arkansas,Arkansas,2024-06-01,35,1.1
California,California,2024-06-01,819,2.1
Colorado,Colorado,2024-06-01,155,2.6
Connecticut,Connecticut,2024-06-01,93,2.5
Delaware,Delaware,2024-06-01,39,3.7
Florida,Florida,2024-06-01,431,1.8
Georgia,Georgia,2024-06-01,207,1.9
Hawaii,Hawaii,2024-06-01,40,2.8
Idaho,Idaho,2024-06-01,26,1.3
Illinois,Illinois,2024-06-01,177,1.4
Indiana,Indiana,2024-06-01,146,2.1
Iowa,Iowa,2024-06-01,38,1.2
Kansas,Kansas,2024-06-01,48,1.6
Kentucky,Kentucky,2024-06-01,146,3.2
Louisiana,Louisiana,2024-06-01,143,3.1
Maine,Maine,2024-06-01,41,2.9
Maryland,Maryland,2024-06-01,175,2.8
Massachusetts,Massachusetts,2024-06-01,128,1.8
Michigan,Michigan,2024-06-01,183,1.8
Minnesota,Minnesota,2024-06-01,80,1.4
Mississippi,Mississippi,2024-06-01,28,1
Missouri,Missouri,2024-06-01,137,2.2
Montana,Montana,2024-06-01,15,1.3
Nebraska,Nebraska,2024-06-01,15,0.7
Nevada,Nevada,2024-06-01,144,4.4
New Hampshire,New Hampshire,2024-06-01,23,1.6
New Jersey,New Jersey,2024-06-01,141,1.5
New Mexico,New Mexico,2024-06-01,56,2.6
New York,New York,2024-06-01,377,1.9
North Carolina,North Carolina,2024-06-01,237,2.1
North Dakota,North Dakota,2024-06-01,10,1.3
Ohio,Ohio,2024-06-01,257,2.2
Oklahoma,Oklahoma,2024-06-01,119,2.9
Oregon,Oregon,2024-06-01,129,3
Pennsylvania,Pennsylvania,2024-06-01,312,2.4
Rhode Island,Rhode Island,2024-06-01,34,3.1
South Carolina,South Carolina,2024-06-01,107,2
Tennessee,Tennessee,2024-06-01,191,2.6
Texas,Texas,2024-06-01,451,1.4
Utah,Utah,2024-06-01,66,1.9
Vermont,Vermont,2024-06-01,31,4.8
Virginia,Virginia,2024-06-01,133,1.5
Washington,Washington,2024-06-01,253,3.2
West Virginia,West Virginia,2024-06-01,72,4.1
Wisconsin,Wisconsin,2024-06-01,78,1.3
Wyoming,Wyoming,2024-06-01,10,1.7
Alabama,Alabama,2024-07-01,70,1.4
Alaska,Alaska,2024-07-01,27,3.6
Arizona,Arizona,2024-07-01,304,4
Arkansas,Arkansas,2024-07-01,29,0.9
California,California,2024-07-01,781,2
Colorado,Colorado,2024-07-01,118,2
Connecticut,Connecticut,2024-07-01,74,2
Delaware,Delaware,2024-07-01,25,2.4
Florida,Florida,2024-07-01,410,1.8
Georgia,Georgia,2024-07-01,186,1.7
Hawaii,Hawaii,2024-07-01,34,2.4
Idaho,Idaho,2024-07-01,33,1.6
Illinois,Illinois,2024-07-01,239,1.9
Indiana,Indiana,2024-07-01,142,2.1
Iowa,Iowa,2024-07-01,36,1.1
Kansas,Kansas,2024-07-01,34,1.1
Kentucky,Kentucky,2024-07-01,119,2.6
Louisiana,Louisiana,2024-07-01,148,3.2
Maine,Maine,2024-07-01,36,2.6
Maryland,Maryland,2024-07-01,146,2.3
Massachusetts,Massachusetts,2024-07-01,150,2.1
Michigan,Michigan,2024-07-01,158,1.6
Minnesota,Minnesota,2024-07-01,88,1.5
Mississippi,Mississippi,2024-07-01,43,1.5
Missouri,Missouri,2024-07-01,112,1.8
Montana,Montana,2024-07-01,22,1.9
Nebraska,Nebraska,2024-07-01,17,0.8
Nevada,Nevada,2024-07-01,143,4.4
New Hampshire,New Hampshire,2024-07-01,24,1.7
New Jersey,New Jersey,2024-07-01,165,1.7
New Mexico,New Mexico,2024-07-01,64,3
New York,New York,2024-07-01,377,1.9
North Carolina,North Carolina,2024-07-01,231,2.1
Ohio,Ohio,2024-07-01,270,2.3
Oklahoma,Oklahoma,2024-07-01,92,2.2
Oregon,Oregon,2024-07-01,94,2.2
Pennsylvania,Pennsylvania,2024-07-01,315,2.4
Rhode Island,Rhode Island,2024-07-01,29,2.6
South Carolina,South Carolina,2024-07-01,128,2.3
South Dakota,South Dakota,2024-07-01,13,1.4
Tennessee,Tennessee,2024-07-01,218,3
Texas,Texas,2024-07-01,449,1.4
Utah,Utah,2024-07-01,63,1.8
Vermont,Vermont,2024-07-01,27,4.2
Virginia,Virginia,2024-07-01,109,1.2
Washington,Washington,2024-07-01,255,3.2
West Virginia,West Virginia,2024-07-01,59,3.3
Wisconsin,Wisconsin,2024-07-01,91,1.5
Alabama,Alabama,2024-08-01,108,2.1
Alaska,Alaska,2024-08-01,21,2.8
Arizona,Arizona,2024-08-01,241,3.2
Arkansas,Arkansas,2024-08-01,30,1
California,California,2024-08-01,707,1.8
Colorado,Colorado,2024-08-01,101,1.7
Connecticut,Connecticut,2024-08-01,79,2.1
Delaware,Delaware,2024-08-01,25,2.4
Florida,Florida,2024-08-01,363,1.6
Georgia,Georgia,2024-08-01,170,1.5
Hawaii,Hawaii,2024-08-01,31,2.1
Idaho,Idaho,2024-08-01,23,1.1
Illinois,Illinois,2024-08-01,236,1.9
Indiana,Indiana,2024-08-01,138,2
Iowa,Iowa,2024-08-01,27,0.8
Kansas,Kansas,2024-08-01,40,1.3
Kentucky,Kentucky,2024-08-01,119,2.6
Louisiana,Louisiana,2024-08-01,118,2.6
Maine,Maine,2024-08-01,29,2.1
Maryland,Maryland,2024-08-01,142,2.3
Massachusetts,Massachusetts,2024-08-01,126,1.8
Michigan,Michigan,2024-08-01,143,1.4
Minnesota,Minnesota,2024-08-01,76,1.3
Mississippi,Mississippi,2024-08-01,44,1.5
Missouri,Missouri,2024-08-01,97,1.6
Montana,Montana,2024-08-01,10,0.9
Nebraska,Nebraska,2024-08-01,11,0.5
Nevada,Nevada,2024-08-01,125,3.8
New Hampshire,New Hampshire,2024-08-01,18,1.3
New Jersey,New Jersey,2024-08-01,166,1.7
New Mexico,New Mexico,2024-08-01,76,3.6
New York,New York,2024-08-01,364,1.8
North Carolina,North Carolina,2024-08-01,181,1.6
Ohio,Ohio,2024-08-01,295,2.5
Oklahoma,Oklahoma,2024-08-01,84,2.1
Oregon,Oregon,2024-08-01,88,2.1
Pennsylvania,Pennsylvania,2024-08-01,246,1.9
Rhode Island,Rhode Island,2024-08-01,21,1.9
South Carolina,South Carolina,2024-08-01,107,2
Tennessee,Tennessee,2024-08-01,206,2.9
Texas,Texas,2024-08-01,475,1.5
Utah,Utah,2024-08-01,48,1.4
Vermont,Vermont,2024-08-01,16,2.5
Virginia,Virginia,2024-08-01,137,1.6
Washington,Washington,2024-08-01,175,2.2
West Virginia,West Virginia,2024-08-01,62,3.5
Wisconsin,Wisconsin,2024-08-01,86,1.4
Alabama,Alabama,2024-09-01,81,1.6
Alaska,Alaska,2024-09-01,16,2.2
Arizona,Arizona,2024-09-01,176,2.3
Arkansas,Arkansas,2024-09-01,33,1.1
California,California,2024-09-01,670,1.7
Colorado,Colorado,2024-09-01,102,1.7
Connecticut,Connecticut,2024-09-01,65,1.8
Delaware,Delaware,2024-09-01,23,2.2
Florida,Florida,2024-09-01,343,1.5
Georgia,Georgia,2024-09-01,145,1.3
Hawaii,Hawaii,2024-09-01,32,2.2
Idaho,Idaho,2024-09-01,20,1
Illinois,Illinois,2024-09-01,189,1.5
Indiana,Indiana,2024-09-01,125,1.8
Iowa,Iowa,2024-09-01,24,0.7
Kansas,Kansas,2024-09-01,46,1.5
Kentucky,Kentucky,2024-09-01,100,2.2
Louisiana,Louisiana,2024-09-01,105,2.3
Maine,Maine,2024-09-01,33,2.3
Maryland,Maryland,2024-09-01,127,2
Massachusetts,Massachusetts,2024-09-01,88,1.2
Michigan,Michigan,2024-09-01,148,1.5
Minnesota,Minnesota,2024-09-01,85,1.5
Mississippi,Mississippi,2024-09-01,40,1.4
Missouri,Missouri,2024-09-01,97,1.6
Montana,Montana,2024-09-01,12,1.1
Nebraska,Nebraska,2024-09-01,17,0.8
Nevada,Nevada,2024-09-01,87,2.7
New Hampshire,New Hampshire,2024-09-01,20,1.4
New Jersey,New Jersey,2024-09-01,147,1.5
New Mexico,New Mexico,2024-09-01,58,2.7
New York,New York,2024-09-01,320,1.6
North Carolina,North Carolina,2024-09-01,198,1.8
Ohio,Ohio,2024-09-01,214,1.8
Oklahoma,Oklahoma,2024-09-01,58,1.4
Oregon,Oregon,2024-09-01,107,2.5
Pennsylvania,Pennsylvania,2024-09-01,237,1.8
Rhode Island,Rhode Island,2024-09-01,28,2.5
South Carolina,South Carolina,2024-09-01,94,1.7
Tennessee,Tennessee,2024-09-01,168,2.3
Texas,Texas,2024-09-01,331,1.1
Utah,Utah,2024-09-01,47,1.3
Vermont,Vermont,2024-09-01,13,2
Virginia,Virginia,2024-09-01,99,1.1
Washington,Washington,2024-09-01,203,2.6
West Virginia,West Virginia,2024-09-01,60,3.4
Wisconsin,Wisconsin,2024-09-01,99,1.7
Alabama,Alabama,2024-10-01,94,1.8
Alaska,Alaska,2024-10-01,25,3.4
Arizona,Arizona,2024-10-01,166,2.2
Arkansas,Arkansas,2024-10-01,30,1
California,California,2024-10-01,707,1.8
Colorado,Colorado,2024-10-01,125,2.1
Connecticut,Connecticut,2024-10-01,79,2.1
Delaware,Delaware,2024-10-01,18,1.7
Florida,Florida,2024-10-01,309,1.3
Georgia,Georgia,2024-10-01,153,1.4
Hawaii,Hawaii,2024-10-01,22,1.5
Idaho,Idaho,2024-10-01,24,1.2
Illinois,Illinois,2024-10-01,183,1.4
Indiana,Indiana,2024-10-01,134,1.9
Iowa,Iowa,2024-10-01,32,1
Kansas,Kansas,2024-10-01,37,1.2
Kentucky,Kentucky,2024-10-01,115,2.5
Louisiana,Louisiana,2024-10-01,91,2
Maine,Maine,2024-10-01,33,2.3
Maryland,Maryland,2024-10-01,119,1.9
Massachusetts,Massachusetts,2024-10-01,124,1.7
Michigan,Michigan,2024-10-01,126,1.2
Minnesota,Minnesota,2024-10-01,62,1.1
Mississippi,Mississippi,2024-10-01,35,1.2
Missouri,Missouri,2024-10-01,107,1.7
Montana,Montana,2024-10-01,12,1.1
Nevada,Nevada,2024-10-01,82,2.5
New Jersey,New Jersey,2024-10-01,142,1.5
New Mexico,New Mexico,2024-10-01,69,3.2
New York,New York,2024-10-01,290,1.5
North Carolina,North Carolina,2024-10-01,167,1.5
Ohio,Ohio,2024-10-01,231,1.9
Oklahoma,Oklahoma,2024-10-01,69,1.7
Oregon,Oregon,2024-10-01,112,2.6
Pennsylvania,Pennsylvania,2024-10-01,255,1.9
Rhode Island,Rhode Island,2024-10-01,19,1.7
South Carolina,South Carolina,2024-10-01,91,1.7
Tennessee,Tennessee,2024-10-01,196,2.7
Texas,Texas,2024-10-01,371,1.2
Utah,Utah,2024-10-01,48,1.4
Vermont,Vermont,2024-10-01,22,3.4
Virginia,Virginia,2024-10-01,93,1.1
Washington,Washington,2024-10-01,213,2.7
West Virginia,West Virginia,2024-10-01,63,3.6
Wisconsin,Wisconsin,2024-10-01,73,1.2
Alabama,Alabama,2024-11-01,74,1.4
Alaska,Alaska,2024-11-01,29,3.9
Arizona,Arizona,2024-11-01,214,2.8
Arkansas,Arkansas,2024-11-01,26,0.8
California,California,2024-11-01,645,1.6
Colorado,Colorado,2024-11-01,133,2.2
Connecticut,Connecticut,2024-11-01,59,1.6
Delaware,Delaware,2024-11-01,25,2.4
Florida,Florida,2024-11-01,311,1.3
Georgia,Georgia,2024-11-01,131,1.2
Hawaii,Hawaii,2024-11-01,18,1.2
Idaho,Idaho,2024-11-01,19,0.9
Illinois,Illinois,2024-11-01,172,1.4
Indiana,Indiana,2024-11-01,127,1.8
Iowa,Iowa,2024-11-01,37,1.1
Kansas,Kansas,2024-11-01,46,1.5
Kentucky,Kentucky,2024-11-01,112,2.4
Louisiana,Louisiana,2024-11-01,95,2.1
Maine,Maine,2024-11-01,38,2.7
Maryland,Maryland,2024-11-01,110,1.8
Massachusetts,Massachusetts,2024-11-01,119,1.7
Michigan,Michigan,2024-11-01,126,1.2
Minnesota,Minnesota,2024-11-01,71,1.2
Mississippi,Mississippi,2024-11-01,42,1.4
Missouri,Missouri,2024-11-01,104,1.7
Montana,Montana,2024-11-01,14,1.2
Nebraska,Nebraska,2024-11-01,11,0.5
Nevada,Nevada,2024-11-01,70,2.1
New Hampshire,New Hampshire,2024-11-01,17,1.2
New Jersey,New Jersey,2024-11-01,125,1.3
New Mexico,New Mexico,2024-11-01,52,2.4
New York,New York,2024-11-01,290,1.5
North Carolina,North Carolina,2024-11-01,172,1.6
Ohio,Ohio,2024-11-01,186,1.6
Oklahoma,Oklahoma,2024-11-01,68,1.7
Oregon,Oregon,2024-11-01,127,3
Pennsylvania,Pennsylvania,2024-11-01,234,1.8
Rhode Island,Rhode Island,2024-11-01,10,0.9
South Carolina,South Carolina,2024-11-01,103,1.9
Tennessee,Tennessee,2024-11-01,156,2.2
Texas,Texas,2024-11-01,320,1
Utah,Utah,2024-11-01,35,1
Vermont,Vermont,2024-11-01,10,1.5
Virginia,Virginia,2024-11-01,108,1.2
Washington,Washington,2024-11-01,292,3.7
West Virginia,West Virginia,2024-11-01,51,2.9
Wisconsin,Wisconsin,2024-11-01,76,1.3
Alabama,Alabama,2024-12-01,88,1.7
Alaska,Alaska,2024-12-01,18,2.4
Arizona,Arizona,2024-12-01,227,3
Arkansas,Arkansas,2024-12-01,32,1
California,California,2024-12-01,679,1.7
Colorado,Colorado,2024-12-01,154,2.6
Connecticut,Connecticut,2024-12-01,83,2.3
Delaware,Delaware,2024-12-01,30,2.9
Florida,Florida,2024-12-01,301,1.3
Georgia,Georgia,2024-12-01,147,1.3
Hawaii,Hawaii,2024-12-01,32,2.2
Idaho,Idaho,2024-12-01,17,0.8
Illinois,Illinois,2024-12-01,167,1.3
Indiana,Indiana,2024-12-01,113,1.6
Iowa,Iowa,2024-12-01,43,1.3
Kansas,Kansas,2024-12-01,56,1.9
Kentucky,Kentucky,2024-12-01,111,2.4
Louisiana,Louisiana,2024-12-01,90,2
Maine,Maine,2024-12-01,41,2.9
Maryland,Maryland,2024-12-01,131,2.1
Massachusetts,Massachusetts,2024-12-01,90,1.3
Michigan,Michigan,2024-12-01,118,1.2
Minnesota,Minnesota,2024-12-01,77,1.3
Mississippi,Mississippi,2024-12-01,34,1.2
Missouri,Missouri,2024-12-01,99,1.6
Montana,Montana,2024-12-01,13,1.1
Nebraska,Nebraska,2024-12-01,12,0.6
Nevada,Nevada,2024-12-01,104,3.2
New Hampshire,New Hampshire,2024-12-01,20,1.4
New Jersey,New Jersey,2024-12-01,137,1.4
New Mexico,New Mexico,2024-12-01,75,3.5
New York,New York,2024-12-01,284,1.4
North Carolina,North Carolina,2024-12-01,198,1.8
Ohio,Ohio,2024-12-01,210,1.8
Oklahoma,Oklahoma,2024-12-01,80,2
Oregon,Oregon,2024-12-01,112,2.6
Pennsylvania,Pennsylvania,2024-12-01,238,1.8
Rhode Island,Rhode Island,2024-12-01,21,1.9
South Carolina,South Carolina,2024-12-01,112,2
Tennessee,Tennessee,2024-12-01,197,2.7
Texas,Texas,2024-12-01,342,1.1
Utah,Utah,2024-12-01,60,1.7
Virginia,Virginia,2024-12-01,117,1.3
Washington,Washington,2024-12-01,297,3.7
West Virginia,West Virginia,2024-12-01,56,3.2
Wisconsin,Wisconsin,2024-12-01,86,1.4
Alabama,Alabama,2025-01-01,76,1.5
Alaska,Alaska,2025-01-01,26,3.5
Arizona,Arizona,2025-01-01,277,3.7
Arkansas,Arkansas,2025-01-01,37,1.2
California,California,2025-01-01,790,2
Colorado,Colorado,2025-01-01,150,2.5
Connecticut,Connecticut,2025-01-01,61,1.7
Delaware,Delaware,2025-01-01,39,3.7
Florida,Florida,2025-01-01,363,1.6
Georgia,Georgia,2025-01-01,151,1.4
Hawaii,Hawaii,2025-01-01,25,1.7
Idaho,Idaho,2025-01-01,22,1.1
Illinois,Illinois,2025-01-01,189,1.5
Indiana,Indiana,2025-01-01,114,1.6
Iowa,Iowa,2025-01-01,37,1.1
Kansas,Kansas,2025-01-01,62,2.1
Kentucky,Kentucky,2025-01-01,111,2.4
Louisiana,Louisiana,2025-01-01,116,2.5
Maine,Maine,2025-01-01,28,2
Maryland,Maryland,2025-01-01,139,2.2
Massachusetts,Massachusetts,2025-01-01,123,1.7
Michigan,Michigan,2025-01-01,167,1.6
Minnesota,Minnesota,2025-01-01,87,1.5
Mississippi,Mississippi,2025-01-01,40,1.4
Missouri,Missouri,2025-01-01,124,2
Montana,Montana,2025-01-01,10,0.9
Nebraska,Nebraska,2025-01-01,10,0.5
Nevada,Nevada,2025-01-01,83,2.5
New Hampshire,New Hampshire,2025-01-01,23,1.6
New Jersey,New Jersey,2025-01-01,130,1.4
New Mexico,New Mexico,2025-01-01,83,3.9
New York,New York,2025-01-01,306,1.5
North Carolina,North Carolina,2025-01-01,207,1.9
North Dakota,North Dakota,2025-01-01,14,1.8
Ohio,Ohio,2025-01-01,205,1.7
Oklahoma,Oklahoma,2025-01-01,80,2
Oregon,Oregon,2025-01-01,125,2.9
Pennsylvania,Pennsylvania,2025-01-01,287,2.2
Rhode Island,Rhode Island,2025-01-01,20,1.8
South Carolina,South Carolina,2025-01-01,116,2.1
Tennessee,Tennessee,2025-01-01,217,3
Texas,Texas,2025-01-01,396,1.3
Utah,Utah,2025-01-01,68,1.9
Vermont,Vermont,2025-01-01,15,2.3
Virginia,Virginia,2025-01-01,111,1.3
Washington,Washington,2025-01-01,329,4.1
West Virginia,West Virginia,2025-01-01,73,4.1
Wisconsin,Wisconsin,2025-01-01,86,1.4
Alabama,Alabama,2025-02-01,66,1.3
Alaska,Alaska,2025-02-01,36,4.9
Arizona,Arizona,2025-02-01,234,3.1
Arkansas,Arkansas,2025-02-01,27,0.9
California,California,2025-02-01,728,1.8
Colorado,Colorado,2025-02-01,131,2.2
Connecticut,Connecticut,2025-02-01,87,2.4
Delaware,Delaware,2025-02-01,33,3.1
Florida,Florida,2025-02-01,282,1.2
Georgia,Georgia,2025-02-01,134,1.2
Hawaii,Hawaii,2025-02-01,30,2.1
Idaho,Idaho,2025-02-01,26,1.3
Illinois,Illinois,2025-02-01,156,1.2
Indiana,Indiana,2025-02-01,147,2.1
Iowa,Iowa,2025-02-01,43,1.3
Kansas,Kansas,2025-02-01,48,1.6
Kentucky,Kentucky,2025-02-01,109,2.4
Louisiana,Louisiana,2025-02-01,81,1.8
Maine,Maine,2025-02-01,32,2.3
Maryland,Maryland,2025-02-01,108,1.7
Massachusetts,Massachusetts,2025-02-01,99,1.4
Michigan,Michigan,2025-02-01,159,1.6
Minnesota,Minnesota,2025-02-01,95,1.6
Mississippi,Mississippi,2025-02-01,40,1.4
Missouri,Missouri,2025-02-01,107,1.7
Montana,Montana,2025-02-01,18,1.6
Nebraska,Nebraska,2025-02-01,16,0.8
Nevada,Nevada,2025-02-01,96,2.9
New Hampshire,New Hampshire,2025-02-01,26,1.8
New Jersey,New Jersey,2025-02-01,136,1.4
New Mexico,New Mexico,2025-02-01,67,3.1
New York,New York,2025-02-01,282,1.4
North Carolina,North Carolina,2025-02-01,193,1.7
Ohio,Ohio,2025-02-01,210,1.8
Oklahoma,Oklahoma,2025-02-01,78,1.9
Oregon,Oregon,2025-02-01,131,3.1
Pennsylvania,Pennsylvania,2025-02-01,251,1.9
Rhode Island,Rhode Island,2025-02-01,23,2.1
South Carolina,South Carolina,2025-02-01,120,2.2
Tennessee,Tennessee,2025-02-01,176,2.4
Texas,Texas,2025-02-01,316,1
Utah,Utah,2025-02-01,48,1.4
Vermont,Vermont,2025-02-01,10,1.5
Virginia,Virginia,2025-02-01,90,1
Washington,Washington,2025-02-01,272,3.4
West Virginia,West Virginia,2025-02-01,50,2.8
Wisconsin,Wisconsin,2025-02-01,87,1.5
Alabama,Alabama,2025-03-01,92,1.8
Alaska,Alaska,2025-03-01,35,4.7
Arizona,Arizona,2025-03-01,244,3.2
Arkansas,Arkansas,2025-03-01,34,1.1
California,California,2025-03-01,788,2
Colorado,Colorado,2025-03-01,167,2.8
Connecticut,Connecticut,2025-03-01,84,2.3
Delaware,Delaware,2025-03-01,30,2.9
Florida,Florida,2025-03-01,363,1.6
Georgia,Georgia,2025-03-01,156,1.4
Hawaii,Hawaii,2025-03-01,31,2.1
Idaho,Idaho,2025-03-01,31,1.5
Illinois,Illinois,2025-03-01,186,1.5
Indiana,Indiana,2025-03-01,138,2
Iowa,Iowa,2025-03-01,45,1.4
Kansas,Kansas,2025-03-01,56,1.9
Kentucky,Kentucky,2025-03-01,120,2.6
Louisiana,Louisiana,2025-03-01,125,2.7
Maine,Maine,2025-03-01,32,2.3
Maryland,Maryland,2025-03-01,128,2
Massachusetts,Massachusetts,2025-03-01,128,1.8
Michigan,Michigan,2025-03-01,151,1.5
Minnesota,Minnesota,2025-03-01,106,1.8
Mississippi,Mississippi,2025-03-01,45,1.5
Missouri,Missouri,2025-03-01,114,1.8
Montana,Montana,2025-03-01,11,1
Nebraska,Nebraska,2025-03-01,10,0.5
Nevada,Nevada,2025-03-01,108,3.3
New Hampshire,New Hampshire,2025-03-01,26,1.8
New Jersey,New Jersey,2025-03-01,144,1.5
New Mexico,New Mexico,2025-03-01,78,3.7
New York,New York,2025-03-01,298,1.5
North Carolina,North Carolina,2025-03-01,265,2.4
North Dakota,North Dakota,2025-03-01,17,2.1
Ohio,Ohio,2025-03-01,248,2.1
Oklahoma,Oklahoma,2025-03-01,92,2.2
Oregon,Oregon,2025-03-01,135,3.2
Pennsylvania,Pennsylvania,2025-03-01,259,2
Rhode Island,Rhode Island,2025-03-01,29,2.6
South Carolina,South Carolina,2025-03-01,124,2.3
Tennessee,Tennessee,2025-03-01,209,2.9
Texas,Texas,2025-03-01,391,1.2
Utah,Utah,2025-03-01,66,1.9
Virginia,Virginia,2025-03-01,112,1.3
Washington,Washington,2025-03-01,341,4.3
West Virginia,West Virginia,2025-03-01,68,3.8
Wisconsin,Wisconsin,2025-03-01,67,1.1
Alabama,Alabama,2025-04-01,82,1.6
Alaska,Alaska,2025-04-01,31,4.2
Arizona,Arizona,2025-04-01,236,3.1
Arkansas,Arkansas,2025-04-01,27,0.9
California,California,2025-04-01,757,1.9
Colorado,Colorado,2025-04-01,158,2.7
Connecticut,Connecticut,2025-04-01,64,1.7
Delaware,Delaware,2025-04-01,40,3.8
Florida,Florida,2025-04-01,341,1.5
Georgia,Georgia,2025-04-01,158,1.4
